Splicing Factor	Gene	Aliases	GeneID	HomoloGene	Uniprot	Binding Domain(s)	MIM	Protein Interactors	Chemical Interactors	Expression	CLIP	
hnRNP C	HNRNPC	heterogeneous nuclear ribonucleoprotein C (C1/C2), C1, C2, HNRPC, SNRPC, MGC104306, MGC105117, MGC117353, MGC131677	3183	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=3183	P07910	1 RRM (RNA recognition motif) domain		ALYREF, AP1M1, ARRB2, BTRC, CCDC85B, CDKN2A, CNBP, DDX21, EIF2C4, EIF4A3, FAS, FXR2, GABARAP, GABARAPL1, GABARAPL2, GH1, H2AFX, HNRNPA1, IFIT1, IKBKE, KHDRBS3, KPNA2, KPNA3, KRAS, LMO3, MAP1LC3A, MAP1LC3B, MYC, NFKB2, PHKB, PIN1, PUF60, RALYL, RBM41, RBM8A, SMARCD1, TNFRSF1B, TOP1, TRAF6, UBE2I, UPF3A, ZNF581 (IntAct Database); KPNA3, RALYL (STRING Database); BJLF1, ILF3 (DIP Database); AP1M1, CCDC85B, CDC5L, CELF1, EIF2C1, EIF2C2, FXR2, HNRNPD, KPNA3, KRAS, NCBP1, NFKB2, PHKB, PIN1, PTBP2, RALY, RALYL, RBM41, SF3B2, SNW1, TNFRSF1B, UBE2I, YWHAZ, ZNF581 (MINT Database); AP1M1, CCDC85B, CSNK1A1, CSNK2A1, CSNK2A2, DHX9, FXR2, GRB2, KPNA3, KRAS, LMO3, PDGFB, PHKB, PIN1, RALYL, RBM41, SFRS12, UBE2I, ZNF581 (HPRD Database, Direct); DDX17, DDX23, DDX5, DDX50, DHX9, EFTUD2, ELAVL1, FBL, H1FX, HIST1H1C, HNRNPA1, HNRNPA2B1, HNRNPA3, HNRNPK, HNRNPL, HNRNPR, HNRNPU, MKI67, NAT10, NCL, NOLC1, NONO, NOP2, NPM1, PARP1, PIAS1, PRKDC, PRPF8, SF3B1, SF3B3, SFPQ, SFRS1, SNRNP200, SNRPA1, SRPK1, SSRP1, TCOF1, TOP1, TOP2A (HPRD Database, Complex); AP1M1, BANF1, CCDC85B, CDKN2A, CHD4, CNBP, DHX9, EIF2AK2, EIF2C4, FXR2, GRB2, H2AFX, HNRNPA1, KHDRBS2, KIAA0101, KPNA3, KRAS, LMO3, MEPCE, MGMT, MYC, PHKB, PIN1, PSMA3, PUF60, RALYL, RBM41, SMARCA4, SMARCC1, SREK1, SRRM2, SUMO2, TADA2A, TOP1, UBC, UBE2I, VHL, YWHAQ, ZNF581 (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=508848&LLNO=3183,http://www.proteinatlas.org/ENSG00000092199,http://www.hprd.org/summary?hprd_id=01243&isoform_id=01243_4&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=358,918,20964,20966,20968,20970,20972,20974,20976,20978,20980,20982,20984,20986,20988,20990,20992,20994,20996,20998,21000,21002,21004,21006,21008,21010,21012,21014,21016,21018,21020,21022,21024,21026,21028,21030,21032,21034,21036,2,	http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE25681[PMID:20601959],	
hnRNP C1	HNRNPC	heterogeneous nuclear ribonucleoprotein C (C1/C2), C1, C2, HNRPC, SNRPC, MGC104306, MGC105117, MGC117353, MGC131677	3183	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=3183	P07910-2	1 RRM (RNA recognition motif) domain		ALYREF, AP1M1, ARRB2, BTRC, CCDC85B, CDKN2A, CNBP, DDX21, EIF2C4, EIF4A3, FAS, FXR2, GABARAP, GABARAPL1, GABARAPL2, GH1, H2AFX, HNRNPA1, IFIT1, IKBKE, KHDRBS3, KPNA2, KPNA3, KRAS, LMO3, MAP1LC3A, MAP1LC3B, MYC, NFKB2, PHKB, PIN1, PUF60, RALYL, RBM41, RBM8A, SMARCD1, TNFRSF1B, TOP1, TRAF6, UBE2I, UPF3A, ZNF581 (IntAct Database); KPNA3, RALYL (STRING Database); BJLF1, ILF3 (DIP Database); AP1M1, CCDC85B, CDC5L, CELF1, EIF2C1, EIF2C2, FXR2, HNRNPD, KPNA3, KRAS, NCBP1, NFKB2, PHKB, PIN1, PTBP2, RALY, RALYL, RBM41, SF3B2, SNW1, TNFRSF1B, UBE2I, YWHAZ, ZNF581 (MINT Database); AP1M1, CCDC85B, CSNK1A1, CSNK2A1, CSNK2A2, DHX9, FXR2, GRB2, KPNA3, KRAS, LMO3, PDGFB, PHKB, PIN1, RALYL, RBM41, SFRS12, UBE2I, ZNF581 (HPRD Database, Direct); DDX17, DDX23, DDX5, DDX50, DHX9, EFTUD2, ELAVL1, FBL, H1FX, HIST1H1C, HNRNPA1, HNRNPA2B1, HNRNPA3, HNRNPK, HNRNPL, HNRNPR, HNRNPU, MKI67, NAT10, NCL, NOLC1, NONO, NOP2, NPM1, PARP1, PIAS1, PRKDC, PRPF8, SF3B1, SF3B3, SFPQ, SFRS1, SNRNP200, SNRPA1, SRPK1, SSRP1, TCOF1, TOP1, TOP2A (HPRD Database, Complex); AP1M1, BANF1, CCDC85B, CDKN2A, CHD4, CNBP, DHX9, EIF2AK2, EIF2C4, FXR2, GRB2, H2AFX, HNRNPA1, KHDRBS2, KIAA0101, KPNA3, KRAS, LMO3, MEPCE, MGMT, MYC, PHKB, PIN1, PSMA3, PUF60, RALYL, RBM41, SMARCA4, SMARCC1, SREK1, SRRM2, SUMO2, TADA2A, TOP1, UBC, UBE2I, VHL, YWHAQ, ZNF581 (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=508848&LLNO=3183,http://www.proteinatlas.org/ENSG00000092199,http://www.hprd.org/summary?hprd_id=01243&isoform_id=01243_4&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=358,918,20964,20966,20968,20970,20972,20974,20976,20978,20980,20982,20984,20986,20988,20990,20992,20994,20996,20998,21000,21002,21004,21006,21008,21010,21012,21014,21016,21018,21020,21022,21024,21026,21028,21030,21032,21034,21036,2,	http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE25681[PMID:20601959],	
hnRNP C2	HNRNPC	heterogeneous nuclear ribonucleoprotein C (C1/C2), C1, C2, HNRPC, SNRPC, MGC104306, MGC105117, MGC117353, MGC131677	3183	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=3183	P07910-1	1 RRM (RNA recognition motif) domain		ALYREF, AP1M1, ARRB2, BTRC, CCDC85B, CDKN2A, CNBP, DDX21, EIF2C4, EIF4A3, FAS, FXR2, GABARAP, GABARAPL1, GABARAPL2, GH1, H2AFX, HNRNPA1, IFIT1, IKBKE, KHDRBS3, KPNA2, KPNA3, KRAS, LMO3, MAP1LC3A, MAP1LC3B, MYC, NFKB2, PHKB, PIN1, PUF60, RALYL, RBM41, RBM8A, SMARCD1, TNFRSF1B, TOP1, TRAF6, UBE2I, UPF3A, ZNF581 (IntAct Database); KPNA3, RALYL (STRING Database); BJLF1, ILF3 (DIP Database); AP1M1, CCDC85B, CDC5L, CELF1, EIF2C1, EIF2C2, FXR2, HNRNPD, KPNA3, KRAS, NCBP1, NFKB2, PHKB, PIN1, PTBP2, RALY, RALYL, RBM41, SF3B2, SNW1, TNFRSF1B, UBE2I, YWHAZ, ZNF581 (MINT Database); AP1M1, CCDC85B, CSNK1A1, CSNK2A1, CSNK2A2, DHX9, FXR2, GRB2, KPNA3, KRAS, LMO3, PDGFB, PHKB, PIN1, RALYL, RBM41, SFRS12, UBE2I, ZNF581 (HPRD Database, Direct); DDX17, DDX23, DDX5, DDX50, DHX9, EFTUD2, ELAVL1, FBL, H1FX, HIST1H1C, HNRNPA1, HNRNPA2B1, HNRNPA3, HNRNPK, HNRNPL, HNRNPR, HNRNPU, MKI67, NAT10, NCL, NOLC1, NONO, NOP2, NPM1, PARP1, PIAS1, PRKDC, PRPF8, SF3B1, SF3B3, SFPQ, SFRS1, SNRNP200, SNRPA1, SRPK1, SSRP1, TCOF1, TOP1, TOP2A (HPRD Database, Complex); AP1M1, BANF1, CCDC85B, CDKN2A, CHD4, CNBP, DHX9, EIF2AK2, EIF2C4, FXR2, GRB2, H2AFX, HNRNPA1, KHDRBS2, KIAA0101, KPNA3, KRAS, LMO3, MEPCE, MGMT, MYC, PHKB, PIN1, PSMA3, PUF60, RALYL, RBM41, SMARCA4, SMARCC1, SREK1, SRRM2, SUMO2, TADA2A, TOP1, UBC, UBE2I, VHL, YWHAQ, ZNF581 (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=508848&LLNO=3183,http://www.proteinatlas.org/ENSG00000092199,http://www.hprd.org/summary?hprd_id=01243&isoform_id=01243_4&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=358,918,20964,20966,20968,20970,20972,20974,20976,20978,20980,20982,20984,20986,20988,20990,20992,20994,20996,20998,21000,21002,21004,21006,21008,21010,21012,21014,21016,21018,21020,21022,21024,21026,21028,21030,21032,21034,21036,2,	http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE25681[PMID:20601959],	
hnRNP D	HNRNPD	heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa), P37, AUF1, AUF1A, HNRPD.	3184	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=3184	Q14103	2 RRM (RNA recognition motif) domains		ACTB, ARRB2, ESR1, EXOSC2, GABARAP, GABARAPL1, GABARAPL2, H2AFX, HMGA1, IFIT2, IFIT3, LDHAL6B, MAP1LC3A, MAP1LC3B, UBE2I (IntAct Database); EIF4G1, PABPC1, SYNCRIP (STRING Database); HNRNPC, HNRNPF, HNRNPH3, HNRNPK, HNRNPU, MAPK6, PABPC1, PTBP1, PTBP2, RALY, SF3B4, SFN, SNRPC, SNW1, U2AF2, YWHAH (MINT Database); CSDE1, EXOSC4, GSK3B, IGF2BP2, LDHA, LSM5, PABPC1, PCBP1, PCBP2, PCSK7, PRKACA, SAFB, SFN, SFRS12, SUMO4, SYNCRIP, TNPO1, UBE2I, YBX1 (HPRD Database, Direct); EIF4G1, ELAVL1, ELAVL2, ELAVL3, ELAVL4, FMR1, GNB2L1, HNRNPAB, HNRNPF, HNRNPH1, HNRNPH2, HNRNPK, HNRNPR, HNRNPU, HSPA1A, HSPA8, NCL, PABPC1, PABPC1, PAIP1, PTBP1, RBMX, SF3B2, STAU1, SYNCRIP, UPF1 (HPRD Database, Complex); BANF1, CD4, CDK9, EIF4G1, GPN1, H2AFX, HDAC1, HDAC5, HNRNPH1, HSPA4, HSPA8, HSPB1, HSPB2, KHDRBS2, KIAA0101, LSM5, MAPK6, MEPCE, MTA2, PABPC1, PCBP1, PCBP2, SAFB, SMARCAD1, SREK1, TRNAN1, UBC, VHL (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=480073&LLNO=3184,http://www.proteinatlas.org/ENSG00000138668,http://www.hprd.org/summary?hprd_id=03206&isoform_id=03206_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=105,748,55084,55498,55534,55844,60338,61049,66797,67211,67247,67557,72051,72762,79282,81826,85641,87742,100298,103153,120341,122460,125109&ptm_id=7255,7256,7257,7258,7259,7260,7261,14025,14026,14232,14233,14301,14302,14327,14328,14,		
hnRNP D0	HNRNPD	heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa), P37, AUF1, AUF1A, HNRPD.	3184	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=3184	Q14103	2 RRM (RNA recognition motif) domains		ACTB, ARRB2, ESR1, EXOSC2, GABARAP, GABARAPL1, GABARAPL2, H2AFX, HMGA1, IFIT2, IFIT3, LDHAL6B, MAP1LC3A, MAP1LC3B, UBE2I (IntAct Database); EIF4G1, PABPC1, SYNCRIP (STRING Database); HNRNPC, HNRNPF, HNRNPH3, HNRNPK, HNRNPU, MAPK6, PABPC1, PTBP1, PTBP2, RALY, SF3B4, SFN, SNRPC, SNW1, U2AF2, YWHAH (MINT Database); CSDE1, EXOSC4, GSK3B, IGF2BP2, LDHA, LSM5, PABPC1, PCBP1, PCBP2, PCSK7, PRKACA, SAFB, SFN, SFRS12, SUMO4, SYNCRIP, TNPO1, UBE2I, YBX1 (HPRD Database, Direct); EIF4G1, ELAVL1, ELAVL2, ELAVL3, ELAVL4, FMR1, GNB2L1, HNRNPAB, HNRNPF, HNRNPH1, HNRNPH2, HNRNPK, HNRNPR, HNRNPU, HSPA1A, HSPA8, NCL, PABPC1, PABPC1, PAIP1, PTBP1, RBMX, SF3B2, STAU1, SYNCRIP, UPF1 (HPRD Database, Complex); BANF1, CD4, CDK9, EIF4G1, GPN1, H2AFX, HDAC1, HDAC5, HNRNPH1, HSPA4, HSPA8, HSPB1, HSPB2, KHDRBS2, KIAA0101, LSM5, MAPK6, MEPCE, MTA2, PABPC1, PCBP1, PCBP2, SAFB, SMARCAD1, SREK1, TRNAN1, UBC, VHL (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=480073&LLNO=3184,http://www.proteinatlas.org/ENSG00000138668,http://www.hprd.org/summary?hprd_id=03206&isoform_id=03206_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=105,748,55084,55498,55534,55844,60338,61049,66797,67211,67247,67557,72051,72762,79282,81826,85641,87742,100298,103153,120341,122460,125109&ptm_id=7255,7256,7257,7258,7259,7260,7261,14025,14026,14232,14233,14301,14302,14327,14328,14,		
hnRNP DL	HNRPDL	heterogeneous nuclear ribonucleoprotein D-like, JKTBP, JKTBP2, laAUF1.	9987	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=9987	O14979	2 RRM (RNA recognition motif) domains		ATIC, ERG, GABARAP, GABARAPL1, GABARAPL2, H2AFX, HMGA1, IFIT2, IFIT3, MAP1LC3A, MAP1LC3B, TRAF6 (IntAct Database); ICT1 (MINT Database); ATIC, H2AFX, HGS, HNRNPA1, ICT1, KHDRBS2, KIAA0101, UBC, VHL (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=527105&LLNO=9987,http://www.proteinatlas.org/ENSG00000152795,http://www.hprd.org/summary?hprd_id=06185&isoform_id=06185_2&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=55101,55327,58410,66814,67040,70123&ptm_id=12542,12543,12544&loc_id=,		
hnRNP E1	PCBP1	poly(rC) binding protein 1, HNRPX, HNRPE1, hnRNP-X, hnRNP-E1.	5093	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=5093	Q15365	3 KH domains		ACTR6, ANP32A, BCAR3, CAV3, CELF2, EIF1B, ERG, EWSR1, GABARAP, GABARAPL1, GH1, GSTK1, HLA-B, HLA-C, HMGA1, HNRNPK, HNRPLL, IKBKE, MATR3, MYC, NME2, NOVA1, PCBP2, PCBP4, PDLIM7, PTBP1, PUF60, QKI, RALY, RBM11, RBM42, SRSF3, TNIK, TNRC4, TRAF6, TSC22D1, TSC22D4, UGP2, VHL, WBP11, WRAP73 (IntAct Database); SF3A2 (STRING Database); CDC5L, CUGBP2, EWSR1, HNRNPK, HNRPLL, MATR3, NOVA1, PABPC1, PCBP2, PCBP4, PDLIM7, PPIG, PPIL3, PRPF3, PRPF8, PTBP1, PUF60, QKI, RALY, RBM11, RBM42, SF3A2, SFRS3, TNRC4, TSC22D4, UGP2, YWHAZ, ZCCHC10, ZNF830 (MINT Database); CUGBP2, EWSR1, GNB2, HNRNPD, HNRNPK, HNRPLL, LMNA, MATR3, NOVA1, PABPC1, PCBP2, PCBP4, PDLIM7, PTBP1, PUF60, QKI, RALY, RBM11, RBM42, SFRS3, TCERG1, TNRC4, TSC22D4, UGP2, ZNF384 (HPRD Database, Direct); HNRNPD, KIAA0101, MYC, PABPC1, POT1, RUVBL1, RUVBL2, SMARCAD1, TAF10, TCERG1, TERF2, UBC (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=2853&LLNO=5093,http://www.proteinatlas.org/ENSG00000169564,http://www.hprd.org/summary?hprd_id=03128&isoform_id=03128_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=665,7374,55382,58328,60574,60871,61412,61983,62456,67095,70041,72287,72584,73125,73696,74169,75786,76589,78762,81152,83298,85061,86905,88619,100845,103329,120383,122141,124869&ptm_id=5217,5218,5219,5220,5221,5222,5223,5224,5225,522,		
hnRNP E2	PCBP2	poly(rC) binding protein 2, HNRPE2, hnRNP-E2, MGC110998.	5094	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=5094	Q15366	3 KH domains		GABARAPL1, MYC, PCBP1, QKI (IntAct Database); HNRNPL (STRING Database); CDC5L, CPSF1, CPSF2, CPSF3, EIF2C1, HNRNPL, MORG1, NKAP, PABPC1, PAPOLA, PCBP2, PCBP1, PRPF40A, QKI, SF3B2, SFRS3, SLU7, SNW1, SYMPK, WDR77 (MINT Database); CSDA, CNBP, FLNA, HNRNPD, HNRNPK, HNRNPL, PABPC1, PCBP1, PCBP2, PRPF40A, PTBP1, QKI, SFRS3, SFRS7, YBX1 (HPRD Database, Direct); CDK9, H2AFX, HDAC5, HNRNPD, HNRNPK, HNRNPL, KAT2A, KIAA0101, MEPCE, PABPC1, POLR3H, PSMA3, PTBP1, RUVBL1, RUVBL2, UBC (BioGRID Database)	Cytosine (STITCH Database); Cytosine (ProtChemSIDatabase)	http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=546271&LLNO=5094,http://www.proteinatlas.org/ENSG00000197111,http://www.hprd.org/summary?hprd_id=03129&isoform_id=03129_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=1183,7700,55241,55455,60408,61250,61792,66954,67168,72121,72963,73505,76590,78763,81153,83299,85062,86906,100621,103307,120467&ptm_id=&loc_id=907,		
hnRNP F	HNRNPF	heterogeneous nuclear ribonucleoprotein F, HNRPF, mcs94-1, MGC110997, OK/SW-cl.23, HNRNPF	3185	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=3185	P52597	3 RRM (RNA recognition motif) domains		ARRB2, EGFR, ESR1, GABARAP, GABARAPL1, GABARAPL2, GRB2, IQCB1, MAP1LC3A, MAP1LC3B, MYC, NDRG1, PPP2R2B, RBFOX1, TGM2, TOB1, VAV2, ZWINT (IntAct Database); ZWINT (STRING Database); CDC5L, EIF2C1, EIF2C2, FOX1, HNRNPA0, HNRNPD, HNRNPH3, HNRNPUL1, NFKB1, RBM4, RBM9, SF1, SF3B4, SNRPC, SNW1, TOE1, YWHAZ (MINT Database); FOX1, HNRNPH1, NCBP1, NCBP2, NDRG1, POLR2A, SUMO4, TXNL4A, ZNF689 (HPRD Database, Direct); ELAVL1, ELAVL2, ELAVL3, ELAVL4, FMR1, FUBP1, GNB2L1, HNRNPAB, HNRNPD, HNRNPH1, HNRNPH2, HNRNPK, HNRNPR, HNRNPU, KHSRP, NCL, PABPC1, PTBP1, RBMX, SF3B2, STAU1, SYNCRIP, UPF1 (HPRD Database, Complex); HDAC5, HNRNPH1, KIAA0101, MYC, NCBP1, NCBP2, PRPF40A, PSMA3, SRRM2, SUMO1, SUMO2, TADA2A, TXNL4A, UBC, YWHAQ, ZWINT (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=808&LLNO=3185,http://www.proteinatlas.org/ENSG00000169813,http://www.hprd.org/summary?hprd_id=03023&isoform_id=03023_6&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=377,882,54742,55244,58388,61254,62749,66455,66957,70101,72967,74462,75454,77081,78298,80772,82912,84638,88190,102270,104588,122850,125712&ptm_id=&loc_id=,		
hnRNP H1	HNRNPH1	heterogeneous nuclear ribonucleoprotein H1 (H), HNRPH, HNRPH1, hnRNPH, DKFZp686A15170	3187	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=3187	P31943	3 RRM (RNA recognition motif) domains		ACTB, ARRB1, ARRB2, CRMP1, EGFR, GABARAP, GABARAPL1, GABARAPL2, GRB2, IKBKE, MAP1LC3A, MAP1LC3B, MAP3K3, NDRG1, NFKB2, PPP2R2B, REL, RIPK3, SMN1, TAB2, TOB1, TOM1L1, ZWINT (IntAct Database); HNRNPH2, HNRNPK, KHSRP, YTHDF2, ZWINT (STRING Database); CDC5L, CRMP1, CUGBP1, DDX5, HNRNPH3, IKBKE, MAP3K3, MAP3K7IP2, MBNL1, NFKB2, RALY, RIPK3, SF1, SF3B4, SNW1, TOM1L1, YWHAG (MINT Database); CRMP1, HNRNPF, NCBP1, NCBP2, NDRG1, SFRS12, SUMO4, TCERG1, TOM1L1, YWHAG (HPRD Database, Direct); ELAVL1, ELAVL2, ELAVL3, ELAVL4, FMR1, FUBP1, GNB2L1, HNRNPAB, HNRNPD, HNRNPF, HNRNPH2, HNRNPK, HNRNPR, HNRNPU, KHSRP, NCL, PABPC1, PTBP1, RBMX, SF3B2, STAU1, SYNCRIP, UPF1 (HPRD Database, Complex); APBB1, CCT4, CCT5, CD4, CDK9, CPNE1, CRMP1, DDX5, DDX17, DGCR8, GPN1, HNRNPA1, HNRNPA2B1, HNRNPD, HNRNPF, HNRNPH2, HNRNPK, HNRNPM, HNRNPU, HSPD1, KHDRBS2, KHSRP, KIAA0101, KPNA2, MEPCE, MYSM1, NCBP1, NCBP2, PIN1, RQCD1, SMARCAD1, SMN1, SREK1, SRRM2, SUMO2, SYNCRIP, TCERG1, UBC, VHL, YKT6, YTHDF2, YWHAG, YWHAQ, ZWINT (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=604001&LLNO=3187,http://www.proteinatlas.org/ENSG00000169045,http://www.hprd.org/summary?hprd_id=03021&isoform_id=03021_1&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=402,1038,54797,55042,55477,56750,58430,61500,62556,66510,66755,67190,68463,70143,73213,74269,75453,78296,78297,80771,82911,84637,87665,100204,102268,103917,122550,124718&ptm_id=2312,2313,2314,2315,2316,15028,15612&loc_id=,	http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE23694[PMID:21057496],	
hnRNP H2	HNRNPH2	heterogeneous nuclear ribonucleoprotein H2 (H'), FTP3, HNRPH', HNRPH2, hnRNPH'	3188	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=3188	P55795	3 RRM (RNA recognition motif) domains		ARRB2, ESR2, GABARAP, GABARAPL1, GABARAPL2, GRB2, MAP1LC3A, MAP1LC3B, TOB1 (IntAct Database); HNRNPH1 (STRING Database); DDX5, EIF2C1, GNB2L1, HNRNPA0, HNRNPUL1, ILF3, MORG1, PQBP1, PRPF31, PRPF8, QKI, RBM10, RBM39, RBM4, RBM9, SF1, SNRPC, YWHAZ (MINT Database); ELAVL1, ELAVL2, ELAVL3, ELAVL4, FMR1, GNB2L1, HNRNPAB, HNRNPD, HNRNPF, HNRNPH1, HNRNPK, HNRNPR, HNRNPU, NCL, PABPC1, PTBP1, RBMX, SF3B2, STAU1, SYNCRIP, UPF1 (HPRD Database, Complex); GPN1, HDAC5, HNRNPH1, KIAA0101, MEPCE, UBC, VHL (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=632828&LLNO=3188,http://www.proteinatlas.org/ENSG00000126945,http://www.hprd.org/summary?hprd_id=03022&isoform_id=03022_2&isoform_name=Isoform_1,http://www.humanproteinpedia.org/molecule_details?exp_id=1037,32593,32594,32595,32596,32597,32598,32599,32600,32601,32602,32603,32604,32605,32606,32607,32608,32609,32610,32611,32612,32613,32614,32615,32616,32617,32618,32619,32620,32621,32622,32623,32624,32625,32626,32627,32628,32629,3263,		
hnRNP H3	HNRNPH3	heterogeneous nuclear ribonucleoprotein H3 (2H9), hnRNP 2H9, HNRPH3, FLJ34092	3189	http://www.ncbi.nlm.nih.gov/gene?Db=homologene&DbFrom=gene&Cmd=Link&LinkName=gene_homologene&LinkReadableName=HomoloGene&IdsFromResult=3189	P31942	2 RRM (RNA recognition motif) domains		ANXA11, C14orf1, CCL13, CRMP1, EEF1G, GABARAP, GABARAPL1, GABARAPL2, GSTK1, H2AFX, KAT5, MAP1LC3A, MAP1LC3B, PIM2, RPS4X, SMN1, STK24, TOB1, TTR, UTP14A (IntAct Database); ANXA11, C14orf1, CCL13, CHERP, CRMP1, DDX17, DDX5, EEF1G, HNRNPA0, HNRNPA1, HNRNPD, HNRNPF, HNRNPH1, HNRNPU, HNRNPUL1, KAT5, MAPK6, PIM2, RBM4, RPS4X, TTR, UTP14A, ZMYM2 (MINT Database); ANXA11, C14orf1, CCL13, CRMP1, EEF1G, KAT5, PIM2, RPS4X, TTR, UTP14A, ZMYM2 (HPRD Database, Direct); ANXA11, C14ORF1, CRMP1, EEF1G, H2AFX, KAT5, KHDRBS2, KIAA0101, MAPK6, PIM2, RPS4X, SMN1, SRRM2, STK24, SUMO1, TTR, UBC, UTP14A, ZMYM2 (BioGRID Database)		http://cgap.nci.nih.gov/Genes/GeneInfo?ORG=Hs&CID=643472&LLNO=3189,http://www.proteinatlas.org/ENSG00000096746,http://www.hprd.org/summary?hprd_id=03818&isoform_id=03818_1&isoform_name=Isoform_1,		
