iso_ref	gene_ref	isoform_id	gene_id	gene_name	condition_1	condition_2	IF1	IF2	dIF	isoform_switch_q_value	Rank
isoComp_00092335	geneComp_00026519	ENST00000427260.6	NLRP2	NLRP2	control	treated	0.13	0	-0.13	1.2563943842938e-15	52
isoComp_00057921	geneComp_00018951	ENST00000497670.5	GBA	GBA	control	treated	0	0.223	0.223	1.79678588601294e-15	53
isoComp_00096966	geneComp_00027618	ENST00000593172.5	PALM	PALM	control	treated	0.405	0	-0.405	1.79678588601294e-15	54
isoComp_00060899	geneComp_00019554	ENST00000526285.1	GRK2	GRK2	control	treated	0.21	0.068	-0.143	8.6972455509252e-15	55
isoComp_00124152	geneComp_00033857	ENST00000580498.5	SMG8	SMG8	control	treated	0.197	0.013	-0.184	2.84159072568172e-14	56
isoComp_00121294	geneComp_00033349	ENST00000413737.2	SLC12A5	SLC12A5	control	treated	0	0.455	0.455	3.55750577711559e-14	57
isoComp_00101532	geneComp_00028393	ENST00000674357.1	PLAGL1	PLAGL1	control	treated	0.301	0.084	-0.216	5.43312850585138e-14	58
isoComp_00047145	geneComp_00016873	ENST00000595327.1	DPP9	DPP9	control	treated	0	0.15	0.15	9.98114202321665e-13	59
isoComp_00139105	geneComp_00036642	ENST00000525965.5	TTC12	TTC12	control	treated	0.171	0	-0.171	1.00266464465757e-12	60
isoComp_00073356	geneComp_00022149	ENST00000627309.1	LINC00216	LINC00216	control	treated	0	1	1	1.2293789043127e-12	61
isoComp_00092664	geneComp_00026578	ENST00000379471.3	NOL6	NOL6	control	treated	0.108	0	-0.108	2.6848484416969e-12	62
isoComp_00063650	geneComp_00020114	ENST00000475797.1	HJV	HJV	control	treated	0.561	0	-0.561	5.42345849760837e-12	63
isoComp_00074193	geneComp_00022389	ENST00000659497.1	LINC00847	LINC00847	control	treated	0.005	0.145	0.139	6.31312904116591e-12	64
isoComp_00080628	geneComp_00024165	ENST00000548690.1	MAP3K12	MAP3K12	control	treated	0.159	0.006	-0.153	9.20733929495639e-12	65
isoComp_00150462	geneComp_00038735	ENST00000468450.5	ZNF813	ZNF813	control	treated	0.278	0	-0.278	9.93103141640587e-12	66
isoComp_00030086	geneComp_00013981	ENST00000372994.2	C9orf16	C9orf16	control	treated	0.57	0.721	0.151	1.08815338271033e-11	67
isoComp_00135228	geneComp_00035913	ENST00000484490.1	TMEM234	TMEM234	control	treated	0.295	0.026	-0.269	2.07049139723956e-11	68
isoComp_00136520	geneComp_00036172	ENST00000474486.5	TOMM40L	TOMM40L	control	treated	0.187	0	-0.187	2.31099392405951e-11	69
isoComp_00003556	geneComp_00002036	ENST00000661056.1	AC010894.1	AC010894.1	control	treated	0.794	0	-0.794	4.0262176311357e-11	70
isoComp_00088329	geneComp_00025863	ENST00000651848.1	MXI1	MXI1	control	treated	0.135	0	-0.135	5.61198396223234e-11	71
isoComp_00102251	geneComp_00028506	ENST00000576362.5	PLSCR3	PLSCR3	control	treated	0	0.19	0.19	6.09283180121224e-11	72
isoComp_00021790	geneComp_00012431	ENST00000354293.10	AP2A1	AP2A1	control	treated	0.621	0.446	-0.175	1.14873153385644e-10	73
isoComp_00112208	geneComp_00030212	ENST00000472843.5	RMND5A	RMND5A	control	treated	0.249	0.387	0.138	1.45490239834485e-10	74
isoComp_00058100	geneComp_00018977	ENST00000254299.8	GCH1	GCH1	control	treated	0.411	0	-0.411	2.07413305910219e-10	75
isoComp_00062306	geneComp_00019891	ENST00000645749.1	HARS2	HARS2	control	treated	0	0.101	0.101	2.7555921691647e-10	76
isoComp_00148409	geneComp_00038346	ENST00000511593.6	ZNF331	ZNF331	control	treated	0	0.103	0.103	2.87275135210454e-10	77
isoComp_00091501	geneComp_00026366	ENST00000315614.11	NEURL4	NEURL4	control	treated	0.11	0	-0.11	4.31095671198789e-10	78
isoComp_00086930	geneComp_00025514	ENST00000543555.6	MSH2	MSH2	control	treated	0.424	0.317	-0.107	4.33927355060756e-10	79
isoComp_00114551	geneComp_00031738	ENST00000561603.5	RPAP1	RPAP1	control	treated	0.101	0	-0.101	5.44722671143802e-10	80
isoComp_00014366	geneComp_00008367	ENST00000556643.1	AK7	AK7	control	treated	0.288	0	-0.288	6.58271889946737e-10	81
isoComp_00111753	geneComp_00030122	ENST00000339083.12	RHOC	RHOC	control	treated	0.264	0.37	0.106	1.1567576875837e-09	82
isoComp_00136104	geneComp_00036093	ENST00000540022.5	TNFRSF1A	TNFRSF1A	control	treated	0.128	0	-0.128	1.2644214153038e-09	83
isoComp_00052587	geneComp_00017830	ENST00000332132.8	FAM104B	FAM104B	control	treated	0	0.107	0.107	1.88664341545791e-09	84
isoComp_00136009	geneComp_00036071	ENST00000582302.2	TNFAIP1	TNFAIP1	control	treated	0	0.104	0.104	2.23213613704032e-09	85
isoComp_00047973	geneComp_00017047	ENST00000413350.5	DYNC1LI1	DYNC1LI1	control	treated	0.283	0.134	-0.148	2.36429850507118e-09	86
isoComp_00028467	geneComp_00013553	ENST00000508906.6	BTN3A2	BTN3A2	control	treated	0.384	0	-0.384	2.44014794204298e-09	87
isoComp_00001883	geneComp_00000841	ENST00000646322.1	AC006064.6	AC006064.6	control	treated	0.898	1	0.102	4.91529488730824e-09	88
isoComp_00119049	geneComp_00032944	ENST00000540183.1	SEMA4D	SEMA4D	control	treated	0.192	0	-0.192	5.21983730600272e-09	89
isoComp_00082149	geneComp_00024390	ENST00000639115.1	ME2	ME2	control	treated	0.156	0.011	-0.145	5.7486237339586e-09	90
isoComp_00149138	geneComp_00038484	ENST00000589521.1	ZNF524	ZNF524	control	treated	0.257	0	-0.257	8.97952871111617e-09	91
isoComp_00080213	geneComp_00024097	ENST00000545236.5	MAGOHB	MAGOHB	control	treated	0.222	0.119	-0.102	9.69596619339398e-09	92
isoComp_00148081	geneComp_00038280	ENST00000533543.5	ZNF250	ZNF250	control	treated	0.104	0	-0.104	9.69844387857353e-09	93
isoComp_00105968	geneComp_00029133	ENST00000574522.5	PRPSAP2	PRPSAP2	control	treated	0	0.112	0.112	1.01404901403694e-08	94
isoComp_00096958	geneComp_00027618	ENST00000338448.10	PALM	PALM	control	treated	0	0.516	0.516	1.4707619463322e-08	95
isoComp_00015805	geneComp_00009236	ENST00000533549.1	AL133352.1	AL133352.1	control	treated	0.407	0	-0.407	1.53771547020502e-08	96
isoComp_00073605	geneComp_00022249	ENST00000667523.1	LINC00466	LINC00466	control	treated	0.973	0.13	-0.843	1.54832047472912e-08	97
isoComp_00141824	geneComp_00037137	ENST00000593264.5	UQCR11	UQCR11	control	treated	0.453	0.33	-0.123	1.95264901814975e-08	98
isoComp_00055249	geneComp_00018392	ENST00000357519.9	FIBP	FIBP	control	treated	0.496	0.352	-0.144	2.0689290006782e-08	99
isoComp_00131122	geneComp_00035207	ENST00000526997.5	TATDN3	TATDN3	control	treated	0.151	0.293	0.142	2.09035543183399e-08	100
isoComp_00034933	geneComp_00014805	ENST00000676851.1	CEACAM1	CEACAM1	control	treated	0.521	0	-0.521	2.41368753309703e-08	101
isoComp_00082543	geneComp_00024442	ENST00000636349.1	MEF2C	MEF2C	control	treated	0.212	0.099	-0.113	2.67089232108273e-08	102
isoComp_00086082	geneComp_00025332	ENST00000429360.5	MPST	MPST	control	treated	0.759	0.522	-0.237	4.16918875154839e-08	103
isoComp_00044909	geneComp_00016527	ENST00000647585.1	DHCR24	DHCR24	control	treated	0.127	0.254	0.126	7.25969721208939e-08	104
isoComp_00062617	geneComp_00019957	ENST00000295757.8	HDAC11	HDAC11	control	treated	0.33	0.098	-0.232	8.41239499230974e-08	105
isoComp_00064692	geneComp_00020413	ENST00000613496.4	HPCAL1	HPCAL1	control	treated	0.379	0.123	-0.256	9.16838699465989e-08	106
isoComp_00067347	geneComp_00021006	ENST00000422454.5	INPP1	INPP1	control	treated	0.256	0.048	-0.209	1.23316752956665e-07	107
isoComp_00050225	geneComp_00017431	ENST00000376918.7	EMC10	EMC10	control	treated	0.205	0	-0.205	1.34215266944243e-07	108
isoComp_00104070	geneComp_00028821	ENST00000520723.5	PPIL6	PPIL6	control	treated	0	0.293	0.293	1.43700203116195e-07	109
isoComp_00148074	geneComp_00038280	ENST00000417550.7	ZNF250	ZNF250	control	treated	0.109	0.002	-0.108	1.56925888189689e-07	110
isoComp_00097038	geneComp_00027630	ENST00000461829.1	PANK1	PANK1	control	treated	0.111	0	-0.111	1.70915068441744e-07	111
isoComp_00106059	geneComp_00029165	ENST00000539179.5	PRR4	PRR4	control	treated	0.895	0.608	-0.287	1.86832634549356e-07	112
isoComp_00052940	geneComp_00017890	ENST00000622447.4	FAM156A	FAM156A	control	treated	0.001	0.622	0.621	1.96556397707144e-07	113
isoComp_00092415	geneComp_00026537	ENST00000566600.1	NME3	NME3	control	treated	0	0.261	0.261	2.36782507601141e-07	114
isoComp_00085899	geneComp_00025308	ENST00000258169.9	MPHOSPH6	MPHOSPH6	control	treated	0.636	0.749	0.113	2.44145064156561e-07	115
isoComp_00137831	geneComp_00036427	ENST00000437089.5	TRIM26	TRIM26	control	treated	0	0.542	0.542	2.57453106440327e-07	116
isoComp_00067874	geneComp_00021075	ENST00000623361.3	IQCE	IQCE	control	treated	0	0.155	0.155	2.68520681650312e-07	117
isoComp_00068222	geneComp_00021136	ENST00000558992.1	ISG20	ISG20	control	treated	0.725	0	-0.725	2.78806135643877e-07	118
isoComp_00047972	geneComp_00017047	ENST00000273130.9	DYNC1LI1	DYNC1LI1	control	treated	0.597	0.763	0.166	3.07803580394467e-07	119
isoComp_00075597	geneComp_00022733	ENST00000654093.1	LINC01474	LINC01474	control	treated	0.099	0.612	0.513	3.72205509259908e-07	120
isoComp_00120025	geneComp_00033115	ENST00000462913.1	SFXN4	SFXN4	control	treated	0.139	0.017	-0.123	3.95693961739148e-07	121
isoComp_00120081	geneComp_00033124	ENST00000237305.11	SGK1	SGK1	control	treated	0.455	0.814	0.36	4.08612625216573e-07	122
isoComp_00020643	geneComp_00011760	ENST00000559874.2	ANPEP	ANPEP	control	treated	0.104	0	-0.104	6.26509272215452e-07	123
isoComp_00146916	geneComp_00038082	ENST00000316495.8	ZFAND2A	ZFAND2A	control	treated	0.434	0.656	0.222	6.62438754216576e-07	124
isoComp_00118615	geneComp_00032883	ENST00000273156.11	SEC22C	SEC22C	control	treated	0.352	0.225	-0.127	7.05142801327961e-07	125
isoComp_00051075	geneComp_00017570	ENST00000615648.2	EPPK1	EPPK1	control	treated	0.498	1	0.502	7.29259360104976e-07	126
isoComp_00073692	geneComp_00022264	ENST00000510145.1	LINC00491	LINC00491	control	treated	0.313	0.026	-0.287	7.60863886691914e-07	127
isoComp_00142320	geneComp_00037213	ENST00000473554.5	USP37	USP37	control	treated	0.397	0.11	-0.287	7.8288166045195e-07	128
isoComp_00013023	geneComp_00008063	ENST00000532190.2	ADCK5	ADCK5	control	treated	0.211	0.011	-0.2	8.71452805840187e-07	129
isoComp_00029083	geneComp_00013730	ENST00000439424.6	C17orf49	C17orf49	control	treated	0.577	0.71	0.133	9.13250651603165e-07	130
isoComp_00097916	geneComp_00027752	ENST00000355852.6	PCBP4	PCBP4	control	treated	0.147	0	-0.147	9.76500952012805e-07	131
isoComp_00131657	geneComp_00035270	ENST00000635757.1	TBL1XR1	TBL1XR1	control	treated	0.115	0	-0.115	1.12991213373643e-06	132
isoComp_00087145	geneComp_00025543	ENST00000490053.1	MST1R	MST1R	control	treated	0.259	0.004	-0.255	1.32550091024752e-06	133
isoComp_00054045	geneComp_00018158	ENST00000593021.1	FARSA	FARSA	control	treated	0.38	0.276	-0.104	1.41588873116866e-06	134
isoComp_00148866	geneComp_00038424	ENST00000545749.2	ZNF442	ZNF442	control	treated	0.116	0	-0.116	1.43782396051078e-06	135
isoComp_00130441	geneComp_00035086	ENST00000378933.5	TAB3	TAB3	control	treated	0.214	0.336	0.122	1.44994408798856e-06	136
isoComp_00026105	geneComp_00013094	ENST00000648006.3	B2M	B2M	control	treated	0.685	0.8	0.115	1.55265116509409e-06	137
isoComp_00003193	geneComp_00001770	ENST00000549424.1	AC009779.3	AC009779.3	control	treated	0.578	0.012	-0.566	1.56827526327576e-06	138
isoComp_00056760	geneComp_00018748	ENST00000533418.5	FUZ	FUZ	control	treated	0.223	0	-0.223	1.60679180326693e-06	139
isoComp_00045486	geneComp_00016622	ENST00000596402.1	DKKL1	DKKL1	control	treated	0	0.405	0.405	1.70504912488234e-06	140
isoComp_00101804	geneComp_00028435	ENST00000518939.1	PLEKHA2	PLEKHA2	control	treated	0.12	0.003	-0.117	1.93697191869293e-06	141
isoComp_00005601	geneComp_00003500	ENST00000582066.1	AC025682.1	AC025682.1	control	treated	0.466	0	-0.466	2.30241357987151e-06	142
isoComp_00035668	geneComp_00014921	ENST00000460443.5	CEPT1	CEPT1	control	treated	0.291	0.157	-0.134	2.30241357987151e-06	143
isoComp_00099027	geneComp_00027984	ENST00000344770.6	PDZK1	PDZK1	control	treated	0	0.392	0.392	2.41826827140314e-06	144
isoComp_00054038	geneComp_00018158	ENST00000314606.9	FARSA	FARSA	control	treated	0.596	0.698	0.102	2.50009332371693e-06	145
isoComp_00052504	geneComp_00017813	ENST00000278829.7	FADS3	FADS3	control	treated	0.132	0.244	0.112	2.52087020753001e-06	146
isoComp_00107082	geneComp_00029338	ENST00000510676.6	PTCD2	PTCD2	control	treated	0.278	0.104	-0.174	2.76480471132059e-06	147
isoComp_00062437	geneComp_00019917	ENST00000396895.3	HBE1	HBE1	control	treated	0.68	0.794	0.114	3.12477504096555e-06	148
isoComp_00004741	geneComp_00002872	ENST00000636175.1	AC019257.8	AC019257.8	control	treated	0.956	0.105	-0.85	3.15809332129303e-06	149
isoComp_00067367	geneComp_00021009	ENST00000342652.6	INPP5A	INPP5A	control	treated	0.15	0	-0.15	3.15809332129303e-06	150
isoComp_00132996	geneComp_00035516	ENST00000360110.9	TFRC	TFRC	control	treated	0.441	0.554	0.113	3.1682707308071e-06	151
isoComp_00118913	geneComp_00032922	ENST00000514985.6	SELENOP	SELENOP	control	treated	0.12	0.385	0.265	4.1105412199376e-06	152
isoComp_00093635	geneComp_00026766	ENST00000554464.1	NRDE2	NRDE2	control	treated	0	0.104	0.104	4.92589168528508e-06	153
isoComp_00034166	geneComp_00014657	ENST00000368932.5	CDC40	CDC40	control	treated	0.244	0.123	-0.121	5.80137016522093e-06	154
isoComp_00106161	geneComp_00029181	ENST00000636001.1	PRRT2	PRRT2	control	treated	0	0.779	0.779	5.94267110321472e-06	155
isoComp_00088037	geneComp_00025833	ENST00000427572.2	MUC19	MUC19	control	treated	0.087	0.199	0.112	6.0737329888466e-06	156
isoComp_00066671	geneComp_00020876	ENST00000529613.5	IL15	IL15	control	treated	0	0.16	0.16	6.09012114043657e-06	157
isoComp_00113543	geneComp_00031081	ENST00000423170.1	RNF25	RNF25	control	treated	0.168	0.017	-0.151	6.18305217581188e-06	158
isoComp_00062435	geneComp_00019917	ENST00000292896.3	HBE1	HBE1	control	treated	0.293	0.192	-0.101	6.35911684922053e-06	159
isoComp_00036084	geneComp_00015001	ENST00000367416.6	CFHR4	CFHR4	control	treated	0.257	0	-0.257	7.45881114125677e-06	160
isoComp_00077118	geneComp_00023317	ENST00000500169.7	LINC02377	LINC02377	control	treated	0	0.345	0.345	7.60405500879488e-06	161
isoComp_00061164	geneComp_00019603	ENST00000432226.7	GSN	GSN	control	treated	0.466	0.722	0.256	8.19542671167203e-06	162
isoComp_00108718	geneComp_00029600	ENST00000248139.8	RAB40C	RAB40C	control	treated	0.327	0	-0.327	8.75121992529092e-06	163
isoComp_00111543	geneComp_00030087	ENST00000462143.5	RGS3	RGS3	control	treated	0.574	0.232	-0.342	8.79371635401139e-06	164
isoComp_00022350	geneComp_00012514	ENST00000439528.5	APOO	APOO	control	treated	0.298	0.411	0.113	8.96345959844453e-06	165
isoComp_00014014	geneComp_00008292	ENST00000472820.1	AGPAT2	AGPAT2	control	treated	0.427	0.244	-0.183	9.27646365469632e-06	166
isoComp_00139557	geneComp_00036707	ENST00000480174.5	TTLL7	TTLL7	control	treated	0	0.132	0.132	9.92917982562824e-06	167
isoComp_00013196	geneComp_00008087	ENST00000544673.5	ADGRD1	ADGRD1	control	treated	0.121	0.004	-0.117	1.13811023085646e-05	168
isoComp_00051074	geneComp_00017570	ENST00000568225.2	EPPK1	EPPK1	control	treated	0.502	0	-0.502	1.1817132297624e-05	169
isoComp_00145917	geneComp_00037795	ENST00000248975.6	YWHAH	YWHAH	control	treated	0.826	0.666	-0.16	1.21529784991332e-05	170
isoComp_00095452	geneComp_00027070	ENST00000519083.5	OPRM1	OPRM1	control	treated	0.598	0	-0.598	1.28666979055492e-05	171
isoComp_00090683	geneComp_00026251	ENST00000260361.9	NDUFAF1	NDUFAF1	control	treated	0.033	0.133	0.101	1.44766177685773e-05	172
isoComp_00001882	geneComp_00000841	ENST00000644480.2	AC006064.6	AC006064.6	control	treated	0.102	0	-0.102	1.5840513999329e-05	173
isoComp_00147711	geneComp_00038224	ENST00000307658.12	ZNF17	ZNF17	control	treated	0.189	0.516	0.328	1.5840513999329e-05	174
isoComp_00048279	geneComp_00017103	ENST00000473576.6	EBPL	EBPL	control	treated	0.488	0.338	-0.151	1.76470578648837e-05	175
isoComp_00029242	geneComp_00013763	ENST00000223122.4	C1GALT1	C1GALT1	control	treated	0.532	0.384	-0.148	2.03176039621229e-05	176
isoComp_00001905	geneComp_00000853	ENST00000586010.1	AC006116.8	AC006116.8	control	treated	0	0.614	0.614	2.23644558651506e-05	177
isoComp_00106748	geneComp_00029295	ENST00000584008.5	PSMD12	PSMD12	control	treated	0.446	0.334	-0.112	2.30417569944161e-05	178
isoComp_00003895	geneComp_00002280	ENST00000664574.1	AC012103.1	AC012103.1	control	treated	0.607	0	-0.607	2.37535612695601e-05	179
isoComp_00117172	geneComp_00032609	ENST00000533017.1	SAC3D1	SAC3D1	control	treated	0	0.14	0.14	2.38301687328616e-05	180
isoComp_00139379	geneComp_00036682	ENST00000319190.11	TTC7A	TTC7A	control	treated	0.053	0.189	0.136	2.44303200471017e-05	181
isoComp_00123102	geneComp_00033672	ENST00000530047.5	SLC52A2	SLC52A2	control	treated	0	0.103	0.103	2.44573717777639e-05	182
isoComp_00020960	geneComp_00011892	ENST00000415147.1	AP000688.1	AP000688.1	control	treated	0	0.856	0.856	2.59077668031955e-05	183
isoComp_00070575	geneComp_00021552	ENST00000573815.1	KIF1C	KIF1C	control	treated	0.331	0.201	-0.13	2.67174590511076e-05	184
isoComp_00026846	geneComp_00013216	ENST00000412628.1	BCAR3-AS1	BCAR3-AS1	control	treated	0	0.66	0.66	2.8722926734209e-05	185
isoComp_00066655	geneComp_00020872	ENST00000544434.5	IL12RB2	IL12RB2	control	treated	0.145	0	-0.145	2.91788661968362e-05	186
isoComp_00078106	geneComp_00023684	ENST00000505524.1	LMBRD2	LMBRD2	control	treated	0.308	0.101	-0.206	3.16502102980837e-05	187
isoComp_00115253	geneComp_00032027	ENST00000347512.8	RPL36	RPL36	control	treated	0.593	0.756	0.163	3.2723650762558e-05	188
isoComp_00033191	geneComp_00014485	ENST00000524224.5	CCNE2	CCNE2	control	treated	0.054	0.221	0.167	3.30805866160885e-05	189
isoComp_00140250	geneComp_00036847	ENST00000452512.6	TYW5	TYW5	control	treated	0.006	0.165	0.159	3.41054226730386e-05	190
isoComp_00028153	geneComp_00013492	ENST00000552677.5	BRMS1L	BRMS1L	control	treated	0.194	0	-0.194	3.61473768047199e-05	191
isoComp_00052754	geneComp_00017854	ENST00000645288.1	FAM122C	FAM122C	control	treated	0.124	0	-0.123	3.6917657084192e-05	192
isoComp_00120093	geneComp_00033124	ENST00000534658.5	SGK1	SGK1	control	treated	0.143	0	-0.143	3.82165388887322e-05	193
isoComp_00034211	geneComp_00014666	ENST00000422687.1	CDC42EP3	CDC42EP3	control	treated	0.084	0.316	0.232	4.28832813403507e-05	194
isoComp_00018257	geneComp_00010973	ENST00000648131.1	AL583827.1	AL583827.1	control	treated	0.678	1	0.322	4.47307278864969e-05	195
isoComp_00031158	geneComp_00014162	ENST00000471271.5	CARF	CARF	control	treated	0	0.111	0.111	4.66275987433829e-05	196
isoComp_00048131	geneComp_00017072	ENST00000486815.5	DZIP3	DZIP3	control	treated	0.112	0	-0.112	4.9049436671247e-05	197
isoComp_00117954	geneComp_00032751	ENST00000542355.6	SCG3	SCG3	control	treated	0.111	0.284	0.173	5.17836807063193e-05	198
isoComp_00068027	geneComp_00021098	ENST00000361433.6	IRAG2	IRAG2	control	treated	0	0.11	0.11	5.83703715817144e-05	199
isoComp_00108053	geneComp_00029479	ENST00000541166.1	PWP1	PWP1	control	treated	0.377	0.267	-0.111	6.56253333886511e-05	200
