#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|dPSI|>=0.20) per LSV junction	P(|dPSI|<=0.05) per LSV junction	CONTROL E(PSI)	BORIS E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions	chr	strand	Junctions coords	Exons coords	IR coords	UCSC LSV Link
FBXL4	ENSG00000112234.9	ENSG00000112234.9:s:98899268-98899481	0.28631647654217934;-0.286316445661351	0.7913324801973038;0.7913324292925824	5.0463938628873405e-05;5.0466574608165615e-05	0.434;0.566	0.751;0.249	s|1e1.1o1|1e2.1o1	False	False	True	2	3	1;0	chr6	-	98880624-98899268;98875727-98899268	98875415-98875727;98880553-98880624;98899268-98899481		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr6%3A98899481-98875415
SP3	ENSG00000172845.17	ENSG00000172845.17:t:173954873-173956232	0.20792942564395675;0.03448482526599067;-0.19365893216819452;-4.075320394682051e-05;-4.075320394682051e-05;-0.02541188286437454	0.5221845865516721;0.0117954348183591;0.4644480244199674;1.2562656366602148e-06;1.2562656366602148e-06;0.006237166386987738	2.2597901221851338e-05;0.00035517860647723415;4.1090480913941185e-05;0.004686791241094279;0.004686791241094279;0.000508846675751129	0.094;0.064;0.713;0.005;0.005;0.118	0.369;0.142;0.428;0.005;0.005;0.057	t|1e1.2o2|1e2.1o1|1e3.1o1|1e4.1o1|2e5.1o2|i	False	True	True	6	6	0;1;1;1;1;0	chr2	-	173956232-173965165;173956232-173964405;173956232-173963761;173956232-173962972;173956228-173965188;173956233-173962971	173954873-173956232;173962972-173963379;173963761-173964219;173964405-173964553;173965165-173965702	173956233-173962971	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A173965702-173954873
TMCO6	ENSG00000113119.13	ENSG00000113119.13:s:140641306-140641780	0.25537928086345846;-0.11548878075088403;-0.06725355229534122;-0.00021616305704046505	0.6836553088052149;0.17793896650438656;0.027885860859627958;2.6685960318329183e-06	6.96995209182482e-05;0.00022874379885129414;0.0005299300255161565;0.007088057617506971	0.638;0.223;0.132;0.008	0.936;0.052;0.006;0.006	s|1e1.1o2|1e2.1o1|1e3.1o3|1e3.3o3	False	True	True	4	4	1;0;1;1	chr5	+	140641780-140641870;140641780-140642315;140641780-140642491;140641780-140642586	140641306-140641780;140641870-140642053;140642315-140642419;140642491-140642671		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr5%3A140642671-140641306
AC008555.4	ENSG00000271109.2	ENSG00000271109.2:s:34860449-34860747	-0.21103713439197735;0.22316698563556842;0.10722055097085308;-0.06802848092219835	0.5502520380708641;0.635147721250007;0.08345990974353303;0.04702095011823972	0.00010761657119728874;2.686635149403625e-05;0.0001856402248199663;0.00040064683476737084	0.691;0.047;0.047;0.215	0.423;0.294;0.185;0.095	s|1e1.1o1|1e2.2o2|1e3.1o1|2e4.1o1	True	False	True	4	5	1;0;0;1	chr19	-	34860302-34860534;34850794-34860534;34849549-34860534;34860302-34860449	34849046-34849549;34850628-34850796;34860174-34860302;34860449-34860747		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A34860747-34849046
SDHAP1	ENSG00000185485.14	ENSG00000185485.14:s:195962139-195962237	0.043060736616559694;0.02467068050236241;0.08064703209214061;-0.20404870699730812	0.004948987528540703;0.00025085031135902786;0.020685228510230372;0.5238395728044214	0.00035849175844623014;0.001270162087641604;0.00014854821190709585;1.3296837558351982e-05	0.047;0.026;0.026;0.901	0.124;0.079;0.142;0.654	s|1e1.3o3|2e1.2o3|3e2.2o2|i	True	True	True	4	3	0;0;0;0	chr3	-	195962082-195962236;195962098-195962159;195961668-195962139;195962100-195962139	195961659-195961807;195962070-195962099;195962139-195962237	195962100-195962139	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A195962237-195961659
PPFIA1	ENSG00000131626.19	ENSG00000131626.19:s:70349923-70350039	0.23973582738147728;-0.2397357738642254	0.6594088748613218;0.6594087573704982	6.547315937596504e-05;6.547654973354522e-05	0.048;0.952	0.328;0.672	s|1e1.1o1|1e2.2o3	False	False	True	2	3	1;1	chr11	+	70350039-70350994;70350039-70354301	70349923-70350039;70350994-70351023;70354203-70354452		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A70354452-70349923
ATG10	ENSG00000152348.16	ENSG00000152348.16:s:81987558-81987679	-0.20374427872428377;0.1422360927849639;0.030395805002913445	0.5231517113627407;0.17649551231639682;2.717084118671501e-05	2.1157366450030857e-05;8.847024364932493e-05;0.0030345229763249497	0.929;0.057;0.014	0.705;0.220;0.075	s|1e1.1o1|1e2.1o2|1e3.2o2	False	False	True	3	4	1;0;0	chr5	+	81987678-82058495;81987678-82164399;81987678-82178490	81987558-81987679;82058495-82058602;82164399-82164537;82178488-82178587		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr5%3A82178587-81987558
ZNF681	ENSG00000196172.9	ENSG00000196172.9:s:23758747-23758891	-0.002703747391415119;0.2014526463407486;0.004767318899692614;-1.9564874677847666e-05;-0.21337216306715273	1.408535098325923e-09;0.5133167405710674;6.00422489870397e-21;4.943747357948986e-21;0.5796037879711604	0.06529056229325547;3.1330598810518254e-05;0.12005780820617319;0.2993199010849249;3.360313290745598e-05	0.036;0.168;0.015;0.008;0.772	0.026;0.381;0.042;0.006;0.545	s|1e1.1o1|2e2.1o1|2e3.1o2|2e3.2o2|2e4.1o1	True	True	True	5	5	0;1;1;1;0	chr19	-	23745323-23758798;23755551-23758747;23754918-23758747;23754897-23758747;23745323-23758747	23739195-23745323;23754823-23754918;23755425-23755551;23758747-23758891		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A23758891-23739195
CEP63	ENSG00000182923.19	ENSG00000182923.19:t:134561377-134565031	-0.2123891295176683;0.00779162793801568;0.17330417452056854	0.5669615113510014;5.1047244324631925e-05;0.38266408032361293	7.04640659264788e-05;0.004049533580826908;9.016108836958114e-05	0.949;0.010;0.041	0.693;0.049;0.257	t|1e1.1o2|1e2.1o2|1e2.2o2	True	False	True	3	3	1;1;1	chr3	+	134552012-134561377;134559305-134561377;134559429-134561377	134551926-134553549;134559150-134559429;134561377-134565031		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A134565031-134551926
SPAG6	ENSG00000077327.16	ENSG00000077327.16:t:22448725-22448989	-0.21828783308038685;0.06461066990895967;0.10988623430626464	0.5457526383630764;0.029659534385697614;0.2304044578605603	0.00022594243483164966;0.0004592259202707942;0.00029633131309482474	0.879;0.024;0.097	0.563;0.141;0.298	t|1e1.2o2|1e2.1o1|1e3.1o1	False	False	True	3	4	1;0;0	chr10	+	22401277-22448725;22430654-22448725;22447246-22448725	nan-22430654;nan-22447246;22401161-22401277;22448725-22448989		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr10%3A22448989-22401161
SIX4	ENSG00000100625.9	ENSG00000100625.9:t:60719760-60720445	0.2667791117614913;-0.2667790815575341	0.7726229241043617;0.7726227543532909	2.1414605640109646e-05;2.1415664904655962e-05	0.669;0.331	0.967;0.033	t|1e1.1o1|1e2.1o1	False	False	True	2	3	1;1	chr14	-	60720445-60723212;60720445-60720980	60719760-60720445;60720980-60721144;60723212-60724047		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr14%3A60724047-60719760
ENTHD1	ENSG00000176177.10	ENSG00000176177.10:s:39873975-na	0.22160367697359007;-0.2216036762590345	0.6156758239829665;0.6156757558593862	4.685035339688169e-05;4.685281075822445e-05	0.689;0.311	0.940;0.060	s|1e1.1o1|1e2.1o1	False	False	True	2	3	0;0	chr22	-	39862007-39873975;39835958-39873975	39835840-39835958;39861765-39862007;39873975-nan		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr22%3A39873985-39835840
ENTHD1	ENSG00000176177.10	ENSG00000176177.10:t:39835840-39835958	-0.37062218034395966;0.3706221752701942	0.8761608981513498;0.8761609638391658	9.711451058913578e-05;9.710978161315458e-05	0.527;0.473	0.118;0.882	t|1e1.1o1|1e2.1o1	False	False	True	2	3	0;1	chr22	-	39835958-39873975;39835958-39861765	39835840-39835958;39861765-39862007;39873975-nan		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr22%3A39873985-39835840
ZNF420	ENSG00000197050.11	ENSG00000197050.11:t:37130037-37130368	-0.0035989642636337685;0.00018942652510485684;-0.2109109672467254;0.23462868227973274	3.826944555437224e-05;5.037220077082148e-06;0.5407885378669922;0.6225434969137202	0.002652565959446185;0.003770804670663319;1.2935973615069152e-05;1.3209710111597374e-05	0.034;0.007;0.304;0.655	0.008;0.008;0.041;0.943	t|1e1.1o1|2e1.1o1|2e2.1o1|i	False	True	True	4	3	1;1;1;0	chr19	+	37128402-37130037;37128402-37130144;37128906-37130144;37128907-37130036	37128167-37128402;37128613-37128906;37130037-37130368	37128907-37130036	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A37130368-37128167
CAMKMT	ENSG00000143919.15	ENSG00000143919.15:s:44390241-44390305	-0.21656325449462818;-0.038986667671930375;0.051076250518499414;0.03111851123669421;1.393220230763645e-06;0.07835900276334143	0.5748494862176184;0.01013709747172989;0.0047269839669159906;0.0010981859431298713;3.85329594893146e-08;0.11960655049019155	7.523316032231886e-05;0.0006918691888382345;0.0008540913586438003;0.0014950855634986585;0.016719644613105378;0.00038493187947922017	0.364;0.143;0.003;0.003;0.003;0.482	0.104;0.064;0.104;0.084;0.003;0.642	s|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o2	False	True	True	6	6	1;0;1;1;1;1	chr2	+	44390305-44391885;44390305-44391889;44390305-44456568;44390305-44549555;44390305-44631491;44390305-44704283	44390241-44390305;44391885-44392073;44456568-44457261;44549555-44549785;44631491-44631714;44704283-44704343		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A44704343-44390241
AC105052.4	ENSG00000279168.2	ENSG00000279168.2:s:102644394-102644562	-0.4140531968435499;0.4140532587405769	0.9978749031616162;0.9978749671617647	6.43509984188384e-08;6.424901793834417e-08	0.987;0.013	0.568;0.432	s|1e1.1o1|i	False	False	False	2	2	0;0	chr7	-	102643869-102644394;102643870-102644393	102643421-102643869;102644394-102644562	102643870-102644393	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A102644562-102643421
RPRD2	ENSG00000163125.15	ENSG00000163125.15:t:150443231-150443283	-0.20962111664795646;0.20962117791787657	0.5540068918643587;0.5540071865033599	5.134080725255341e-05;5.1337888187926296e-05	0.882;0.118	0.645;0.355	t|1e1.1o2|1e2.1o1	False	False	True	2	3	1;1	chr1	+	150441023-150443231;150441958-150443231	150440923-150441623;150441881-150441958;150443231-150443283		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A150443283-150440923
RPRD2	ENSG00000163125.15	ENSG00000163125.15:s:150440923-150441623	0.23579020686086244;-0.23579022246484643	0.665151317120245;0.6651512809764888	3.81339376896145e-05;3.813598449509126e-05	0.251;0.749	0.508;0.492	s|1e1.1o1|1e2.1o1	False	False	True	2	3	1;1	chr1	+	150441023-150441881;150441023-150443231	150440923-150441623;150441881-150441958;150443231-150443283		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A150443283-150440923
CCDC189	ENSG00000196118.12	ENSG00000196118.12:t:30757423-30757654	0.1854186719971192;0.0340008300193184;-0.2390859742070783;-0.0019006103390704107	0.38345909499333275;0.005985329264436005;0.6833141332338551;4.918234006523646e-05	1.1453509158492e-06;0.0003955032906365237;3.970199592195911e-06;0.0018842018248537151	0.021;0.189;0.655;0.135	0.225;0.260;0.388;0.130	t|1e1.2o3|1e2.1o1|1e3.1o1|i	False	False	True	4	4	1;1;1;0	chr16	-	30757654-30760284;30757654-30759178;30757654-30759012;30757655-30759011	30757423-30757654;30759012-30759101;30759178-30759247;30760037-30760559	30757655-30759011	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr16%3A30760559-30757423
CCDC189	ENSG00000196118.12	ENSG00000196118.12:s:30760037-30760559	-0.08315589319920574;-0.04851495688986002;-0.020222434790549953;0.012270489071979102;0.2550342409278609	0.10057759598542665;0.05279881028141191;0.005267147157004956;0.002240598497504887;0.7570420502886375	0.0003401913199962969;0.0005477125000881156;0.001102173711879817;0.0012162851330639601;2.9059640798867847e-05	0.281;0.380;0.155;0.130;0.055	0.132;0.269;0.103;0.161;0.337	s|1e1.1o2|1e1.2o2|1e2.2o3|1e2.3o3|1e3.1o1	False	True	True	5	4	1;1;1;1;1	chr16	-	30759809-30760284;30759724-30760284;30759458-30760284;30759444-30760284;30757654-30760284	30757423-30757654;30759342-30759557;30759654-30759809;30760037-30760559		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr16%3A30760559-30757423
COL6A3	ENSG00000163359.16	ENSG00000163359.16:s:237396727-237396847	0.0005260804326766001;0.21610750758327976;-0.23598117422708434	5.064836068010631e-21;0.5823539304650479;0.6671062067805773	0.09396158099083166;5.933465446426509e-05;4.3503994570759374e-05	0.004;0.342;0.654	0.021;0.595;0.384	s|1e1.1o1|1e2.1o2|1e3.1o1	False	False	True	3	4	1;1;1	chr2	-	237395204-237396727;237388184-237396727;237381499-237396727	237380915-237381499;237387582-237388184;237394587-237395204;237396727-237396847		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A237396847-237380915
DPY19L1P1	ENSG00000229358.3	ENSG00000229358.3:t:32751394-32751473	-0.4585139877790094;0.4585139757743274	0.9975687823093334;0.9975687760180141	7.415751999140241e-07;7.414927083152325e-07	0.981;0.019	0.517;0.483	t|1e1.1o1|i	False	False	False	2	2	0;0	chr7	-	32751473-32753206;32751474-32755273	32751394-32751473;32753206-nan	32751474-32755273	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A32753216-32751394
LINC02616	ENSG00000261761.5	ENSG00000261761.5:s:37018255-37020708	0.09709506904688198;-0.0023081720236798825;0.09533861733273691;-0.22479923615818473	0.025547705146103664;8.09111096925707e-05;0.09345328711928456;0.6060910651852663	0.00010786220624538591;0.002923286380476675;7.98234856808082e-05;1.3677735716810524e-05	0.007;0.037;0.067;0.888	0.142;0.031;0.211;0.617	s|1e1.1o1|2e1.1o1|3e1.1o1|i	True	False	False	4	2	0;1;1;0	chr4	+	37018435-37022430;37018667-37022430;37018694-37022430;37020709-37022429	37018255-37020708;37022430-37023499	37020709-37022429	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr4%3A37023499-37018255
ADGRV1	ENSG00000164199.18	ENSG00000164199.18:t:90681315-90681454	-0.24561905651480553;0.3023843801274575;-0.009335255007463104	0.6501413815753223;0.892473528521736;0.003667824744774567	1.5105193397646488e-05;8.075655685482425e-07;0.0006188679358825055	0.755;0.046;0.199	0.460;0.363;0.174	t|1e1.1o1|1e2.1o1|i	False	False	True	3	3	0;1;0	chr5	+	90676209-90681315;90679629-90681315;90679630-90681314	90676080-90676209;90679549-90679629;90681315-90681454	90679630-90681314	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr5%3A90681454-90676080
ADGRV1	ENSG00000164199.18	ENSG00000164199.18:s:90690797-90691041	0.2988170289748998;-0.2988170586015413	0.8416281214217955;0.8416280606883225	2.981371575017943e-05;2.981526022982628e-05	0.433;0.567	0.757;0.243	s|1e1.1o1|2e1.1o1	True	False	False	2	2	1;1	chr5	+	90690958-90692605;90691041-90692605	90690797-90691041;90692605-90692786		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr5%3A90692786-90690797
PNPLA8	ENSG00000135241.17	ENSG00000135241.17:t:108514436-108515574	-1.0171499676300756e-05;-0.2954835361995569;0.19482272948066187;-1.0171499676300756e-05;-0.008736964481528811;0.07137122270339294	1.5176586277229726e-08;0.8002400500975544;0.48923932200564996;1.5176586277229726e-08;0.0005826969573903063;0.015246331133896621	0.02065179178635046;5.848402675134867e-05;0.00011279323451416246;0.02065179178635046;0.0019072180954119444;0.0004372822711130844	0.003;0.700;0.173;0.003;0.097;0.022	0.003;0.366;0.422;0.003;0.076;0.130	t|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o1|2e4.2o2|2e5.1o1	True	True	True	6	6	1;1;1;1;1;1	chr7	-	108515574-108526050;108515574-108526029;108515574-108521476;108515574-108518190;108515447-108526029;108515447-108521476	108514436-108515574;108518190-108518301;108521476-108521521;108526029-108526318		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A108526318-108514436
IFT80	ENSG00000068885.15	ENSG00000068885.15:s:160399146-160399273	0.24043385082944072;-0.2523600744825143;0.00038415434327482176	0.6834828607680299;0.7260687674318815;1.8563611648512656e-08	4.566168067381814e-05;4.057109310773299e-05;0.03247925013317565	0.129;0.865;0.006	0.405;0.578;0.017	s|1e1.1o1|1e2.1o1|1e3.2o4	False	False	True	3	4	1;1;1	chr3	-	160391643-160399146;160384646-160399146;160377540-160399146	160377430-160377565;160383985-160384646;160391546-160391643;160399146-160399273		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A160399273-160377430
EEF1E1-BLOC1S5	ENSG00000265818.1	ENSG00000265818.1:s:8041139-8041268	0.20390554061183003;-0.20390554254070453	0.5217476655429304;0.5217474139179177	9.58231428935157e-06;9.58278813267821e-06	0.719;0.281	0.935;0.065	s|1e1.1o1|1e2.1o1	False	False	True	2	3	1;0	chr6	-	8026425-8041139;8015828-8041139	8015726-8015828;8026367-8026425;8041139-8041268		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr6%3A8041268-8015726
AC027644.4	ENSG00000284461.2	ENSG00000284461.2:t:66685360-na	0.22160647590646387;-0.2216065147503143	0.5490363334926284;0.549036427336915	0.0001924905680346367;0.00019249952279731808	0.227;0.773	0.539;0.461	t|1e1.1o1|1e2.1o1	False	False	True	2	3	0;0	chr7	+	66654626-66685360;66682258-66685360	nan-66654626;nan-66682258;66685360-nan		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A66685370-66654616
BMS1P8	ENSG00000260518.2	ENSG00000260518.2:t:33701241-33701412	-0.20102753429362746;0.20102751260521143	0.5016974655690123;0.5016975868862048	0.00014817892839924518;0.00014817111367560094	0.502;0.498	0.225;0.775	t|1e1.1o1|1e2.1o1	False	False	True	2	3	0;1	chr16	-	33701412-33707182;33701412-33702058	33701241-33701412;33702058-33702131;33707182-33707213		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr16%3A33707213-33701241
SARS1	ENSG00000031698.13	ENSG00000031698.13:t:109214547-109215153	0.7172948870894857;8.275092569170892e-05;-0.7288028782705236	1.0;4.7273316892657345e-21;1.0	4.369043267550728e-06;0.47397268282963195;2.197656636881984e-05	0.190;0.009;0.801	0.904;0.025;0.072	t|1e1.1o1|1e2.1o1|i	False	False	True	3	3	1;0;0	chr1	+	109214128-109214547;109214371-109214547;109214372-109214546	109213918-109214128;109214193-109214371;109214547-109215153	109214372-109214546	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A109215153-109213918
GORAB	ENSG00000120370.13	ENSG00000120370.13:t:170539062-170539659	-0.20888569236470084;-0.05198228595192261;0.3378973411279656	0.5388609568459182;0.018421152121145572;0.9001577784993576	0.00011668560172339859;0.0005402685035816868;3.0496615461405013e-05	0.599;0.161;0.240	0.334;0.064;0.602	t|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	1;0;1	chr1	+	170532284-170539210;170533651-170539210;170536421-170539210	170532131-170532284;170533464-170533651;170536275-170536421;170539062-170539659		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A170539659-170532131
SH2B1	ENSG00000178188.14	ENSG00000178188.14:s:28863559-28863754	0.4129454886177481;-0.4118875990348273;-0.00010050731668530238	0.9545069577532768;0.9540529183389838;5.840180992799099e-07	3.369053533993011e-05;3.3502930679163434e-05;0.01063596507764153	0.345;0.647;0.008	0.772;0.220;0.007	s|1e1.1o1|1e2.2o3|1e3.1o2	False	False	True	3	4	1;1;1	chr16	+	28863754-28866012;28863754-28867331;28863754-28869208	28863559-28863754;28866012-28866284;28867154-28867432;28869208-28869383		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr16%3A28869383-28863559
HBE1	ENSG00000213931.7	ENSG00000213931.7:s:5284875-5285157	-0.5992013354059884;0.5992007538422026	0.9906296238490778;0.9906296355477504	1.1389222399516008e-05;1.1388856655475052e-05	0.964;0.036	0.399;0.601	s|1e1.2o4|i	False	False	False	2	2	0;0	chr11	-	5270156-5284875;5281952-5284874	5269798-5270269;5284875-5285157	5281952-5284874	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A5285157-5269798
